brand,name,ym,km,trans,price
1, G80 3.3 T AWD,2017,92827,1,3550
2, K7 프리미어 2.2 E-VGT,2019,47475,1,2980
2, K7 프리미어 2.5 GDI,2020,52626,1,2549
3, 그랜저 IG 하이브리드 익스클루시브,2017,156630,1,2129
3, 엑센트신형 1.4VVT 프리미엄,2016,24400,1,1150
2, 레이 밴,2017,73598,1,790
1, EQ900 3.8 GDI,2016,79371,1,3249
3, 그랜저IG 2.4 GDI 프리미엄,2018,60388,1,2190
1, G80 3.3 GDI AWD,2016,80935,1,2550
2, K7 프리미어 2.5 GDI,2020,5088,1,2990
4, 더 넥스트 스파크 1.0 가솔린 LT,2016,38780,1,690
2, 올뉴쏘울 1.6 트렌디,2016,18705,1,1450
1, G80 2.2D,2018,96957,1,3049
4, 임팔라 2.5 LT,2017,79320,1,1370
6, SM6 2.0 LPe,2019,47425,1,1950
3, 소나타뉴라이즈 2.0 모던,2018,54300,1,1910
1, G80 2.2D AWD,2018,91079,1,2989
2, 더K9 3.8 GDI,2018,12920,1,4100
2, 올뉴K3 G1.6 럭셔리,2018,14648,1,1580
3, 3DH G330 모던 AWD,2016,111302,1,2049
3, 그랜저IG 3.0 LPI 익스클루시브,2017,79887,1,2359
2, 더뉴K5(2세대) 1.6 터보,2018,31776,1,2050
1, EQ900 3.8 GDI AWD,2016,121596,1,3639
1, G80 3.3 GDI AWD,2016,149930,1,2550
1, G80 3.3 GDI AWD,2018,77213,1,3179
1, G70 3.3T 스포츠 AWD,2018,37957,1,3850
1, EQ900 3.8 GDI AWD,2018,59845,1,4450
3, 더 뉴 그랜저 IG LPI 3.0 모범형(택시형),2018,297473,1,1400
1, EQ900 3.8 GDI AWD,2016,119141,1,3600
2, 더K9 3.3 T-GDI AWD,2019,21401,1,5130
